Cluster,quantity,sales value,Price,COUPON_DISCOUNT,num_national,dh_coupon_redeemed,value of dh coupon
1,535,655.5,1.225233645,,318,0,0
1,323,370.2,1.146130031,-26.47,66,0,0
1,390,479.43,1.229307692,,228,0,0
1,524,643.77,1.228568702,-1,203,0,0
1,344,424.32,1.233488372,,53,0,0
1,455,543.84,1.195252747,,228,5,-3.65
1,356,438.41,1.231488764,-2.5,23,0,0
1,300,372.11,1.240366667,,86,0,0
1,306,380.49,1.243431373,,90,0,0
1,408,510.88,1.252156863,-0.5,138,0,0
1,301,377.73,1.254916944,,215,0,0
1,320,401.6,1.255,,259,0,0
1,362,446.49,1.23339779,-7.89,123,0,0
1,338,425.91,1.260088757,-2.5,21,0,0
1,320,400.39,1.25121875,-7.25,137,0,0
1,296,376.21,1.27097973,-1.08,104,0,0
1,312,386.86,1.239935897,,118,4,-2.77
1,298,378.66,1.270671141,-2.5,103,0,0
1,443,558.76,1.261309255,-10.1,130,0,0
1,467,592.2,1.268094218,-7.88,115,0,0
1,521,669.75,1.285508637,,132,0,0
1,345,443.77,1.286289855,-1.55,256,0,0
1,451,583.65,1.294124169,,147,0,0
1,312,402.93,1.291442308,-1.4,178,0,0
1,474,615.86,1.2992827,,197,0,0
1,376,485.86,1.292180851,-1.9,55,1,-0.79
1,502,651.22,1.297250996,-1.4,102,3,-0.5
1,315,409.53,1.300095238,-2.5,28,0,0
1,488,631.13,1.29329918,-9.2,130,0,0
1,541,670.2,1.238817006,-1.5,209,9,-4.44
1,1036,1301.29,1.256071429,-11,394,10,-5.43
1,442,580.71,1.313823529,-2.5,127,0,0
1,477,631.28,1.323438155,-0.35,254,0,0
1,690,914.85,1.325869565,,207,0,0
1,329,437.18,1.32881459,-0.7,200,0,0
1,497,659.85,1.327665996,-4,331,0,0
1,493,659.08,1.336876268,,223,0,0
1,327,388.8,1.188990826,-3,74,7,-6.72
1,299,399.47,1.336020067,-5.3,21,0,0
1,289,392.08,1.356678201,,201,0,0
1,395,537.1,1.359746835,,252,0,0
1,316,427.46,1.352721519,,247,5,-0.49
1,514,699.96,1.361789883,,231,0,0
1,427,582.17,1.363395785,,130,0,0
1,587,798.79,1.360800681,-7.5,145,0,0
1,443,600.56,1.355665914,-9.09,115,0,0
1,319,442.52,1.387210031,,120,0,0
1,348,474.28,1.362873563,-8.5,54,0,0
1,314,422.53,1.345636943,-13.84,150,0,0
1,452,625.18,1.383141593,-3.5,153,0,0
1,291,393.41,1.351924399,,122,3,-3.97
1,331,456.38,1.378791541,-0.4,199,5,-0.99
1,545,760.73,1.395834862,,401,0,0
1,614,828.76,1.349771987,-11.1,142,2,-9.5
1,270,377.74,1.399037037,,110,0,0
1,400,510.14,1.27535,-51.78,215,0,0
1,400,562.13,1.405325,,255,0,0
1,320,436.46,1.3639375,-1.55,133,2,-5.9
1,274,385.18,1.405766423,,214,0,0
1,386,544.46,1.410518135,,281,0,0
1,312,442.81,1.419262821,,212,0,0
1,467,597.35,1.279122056,-1,16,6,-10.86
1,306,425.94,1.391960784,,231,6,-1.58
1,518,738.36,1.425405405,,340,0,0
1,370,527.97,1.426945946,,86,0,0
1,272,387.01,1.422830882,-1.25,50,0,0
1,331,473.53,1.43060423,,184,0,0
1,319,457.17,1.433134796,,54,1,0
1,521,746.74,1.43328215,,195,0,0
1,324,464.61,1.433981481,,156,0,0
1,362,519.18,1.434198895,,250,0,0
1,413,591.37,1.43188862,-2.24,260,0,0
1,290,414.77,1.430241379,-2.5,201,0,0
1,301,432.16,1.435747508,-1,138,0,0
1,437,627.1,1.435011442,,138,4,-0.6
1,434,625.82,1.441981567,,163,0,0
1,429,612.64,1.428065268,-4,200,1,-3.51
1,443,633.57,1.430180587,-7,207,0,0
1,704,1018.86,1.447244318,,319,0,0
1,293,421.66,1.439112628,-2.5,121,0,0
1,393,572.96,1.457913486,,183,0,0
1,274,393.42,1.435839416,-1.35,139,3,-1.95
1,297,434.9,1.464309764,,228,0,0
1,308,443.77,1.440811688,-8.09,167,0,0
1,287,421.27,1.467839721,,192,0,0
1,433,635.53,1.467736721,-0.79,132,0,0
1,290,423.74,1.461172414,-2.6,173,0,0
1,273,393.9,1.442857143,-7.5,77,0,0
1,328,476.01,1.45125,-3.2,176,2,-2
1,494,727.07,1.471801619,-2.05,239,0,0
1,278,410.78,1.477625899,,131,0,0
1,297,437.55,1.473232323,-2.48,124,0,0
1,578,543.11,0.939636678,-15.45,403,27,-11.04
1,465,685.39,1.473956989,-4.2,300,1,-0.75
1,291,431.02,1.481168385,-1,197,0,0
1,336,500.25,1.488839286,,245,0,0
1,278,412.87,1.485143885,-1.75,91,0,0
1,305,455.65,1.493934426,,189,5,0
1,533,795.43,1.492363977,-1,136,0,0
1,294,440.35,1.497789116,,80,0,0
1,598,893.9,1.494816054,-2,216,0,0
1,307,450.56,1.46762215,-10,45,0,0
1,277,416.8,1.504693141,,180,0,0
1,307,447.72,1.458371336,-14.55,196,0,0
1,446,663.03,1.48661435,-10,366,0,0
1,330,498.49,1.510575758,-0.75,194,0,0
1,406,615.94,1.517093596,,293,0,0
